"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 22 17:32:28 GMT 2024","Mon Jul 22 17:32:28 GMT 2024","200","Core APIS","Account","Create Account","","","Create Account with invalid currency Id",""
"passed","Mon Jul 22 17:32:30 GMT 2024","Mon Jul 22 17:32:31 GMT 2024","214","Core APIS","Customer","","","","Add Customer with invalid DOB format",""
"passed","Mon Jul 22 17:32:27 GMT 2024","Mon Jul 22 17:32:27 GMT 2024","193","Core APIS","Account","End of Day","","","Get Accounts Copy",""
"passed","Mon Jul 22 17:32:30 GMT 2024","Mon Jul 22 17:32:30 GMT 2024","208","Core APIS","Account","Get Account","","","Non Exist ID - Get Accounts",""
"failed","Mon Jul 22 17:32:35 GMT 2024","Mon Jul 22 17:32:35 GMT 2024","204","Core APIS","Chart of Account (Wallet Groups)","","","","Add account feature to account type",""
"passed","Mon Jul 22 17:32:26 GMT 2024","Mon Jul 22 17:32:26 GMT 2024","224","Core APIS","Account","Vault > Create Vault","","","Create Vault with tenor as empty field",""
"failed","Mon Jul 22 17:32:28 GMT 2024","Mon Jul 22 17:32:28 GMT 2024","191","Core APIS","Account","Create Account","","","Create Account with invalid wallet classification Id",""
"passed","Mon Jul 22 17:32:33 GMT 2024","Mon Jul 22 17:32:33 GMT 2024","203","Core APIS","Product","","","","Create Product with a duplicate product name with a different direction",""
"failed","Mon Jul 22 17:32:27 GMT 2024","Mon Jul 22 17:32:27 GMT 2024","203","Core APIS","Account","Create Account","","","Create Account",""
"passed","Mon Jul 22 17:32:35 GMT 2024","Mon Jul 22 17:32:35 GMT 2024","200","Core APIS","Chart of Account (Wallet Groups)","","","","Add account feature to account type with invalid featureId",""
"passed","Mon Jul 22 17:32:34 GMT 2024","Mon Jul 22 17:32:34 GMT 2024","219","Core APIS","Chart of Account (Wallet Groups)","","","","Get Account Type by Id",""
"failed","Mon Jul 22 17:32:29 GMT 2024","Mon Jul 22 17:32:29 GMT 2024","193","Core APIS","Account","Create Account","","","Create Account with name as number",""
"passed","Mon Jul 22 17:32:23 GMT 2024","Mon Jul 22 17:32:23 GMT 2024","227","Core APIS","Account","Vault > Create Vault","","","Create Vault",""
"failed","Mon Jul 22 17:32:29 GMT 2024","Mon Jul 22 17:32:30 GMT 2024","202","Core APIS","Account","Get Account","","","Get Accounts",""
"passed","Mon Jul 22 17:32:26 GMT 2024","Mon Jul 22 17:32:26 GMT 2024","214","Core APIS","Account","Vault > Interest Accrured","","","Interest Accrued",""
"passed","Mon Jul 22 17:32:33 GMT 2024","Mon Jul 22 17:32:33 GMT 2024","220","Core APIS","Product","","","","Get Product",""
"passed","Mon Jul 22 17:32:30 GMT 2024","Mon Jul 22 17:32:30 GMT 2024","225","Core APIS","Customer","","","","Add Customer",""
"passed","Mon Jul 22 17:32:28 GMT 2024","Mon Jul 22 17:32:28 GMT 2024","202","Core APIS","Account","Create Account","","","Create Account with empty wallet classification Id",""
"passed","Mon Jul 22 17:32:24 GMT 2024","Mon Jul 22 17:32:24 GMT 2024","225","Core APIS","Account","Vault > Create Vault","","","Create Vault with amount as alphanumeric value",""
"passed","Mon Jul 22 17:32:33 GMT 2024","Mon Jul 22 17:32:34 GMT 2024","197","Core APIS","Chart of Account (Wallet Groups)","","","","Create Account Type with duplicate name",""
"passed","Mon Jul 22 17:32:32 GMT 2024","Mon Jul 22 17:32:32 GMT 2024","199","Core APIS","Product","","","","Create Product with a duplicate product name",""
