"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","166","/api/v1/customers/add - Invalid customerTypeId","Kore 78 New","Sun Dec 01 20:02:11 GMT 2024","passed","Sun Dec 01 20:02:12 GMT 2024","v1 > customers > Add Customer","api","",""
"","154","Open Branch","Kore 78 New","Sun Dec 01 20:02:11 GMT 2024","failed","Sun Dec 01 20:02:11 GMT 2024","v1 > branches","api","",""
"","186","Add Wallet To Account","Kore 78 New","Sun Dec 01 20:02:32 GMT 2024","passed","Sun Dec 01 20:02:33 GMT 2024","v1 > Chart Of Account","api","",""
"","163","/api/v1/limits/customer/add","Kore 78 New","Sun Dec 01 20:02:15 GMT 2024","passed","Sun Dec 01 20:02:15 GMT 2024","v1 > limits","api","",""
"","160","/api/v1/products/u/add/organization/:organizationId","Kore 78 New","Sun Dec 01 20:02:29 GMT 2024","passed","Sun Dec 01 20:02:29 GMT 2024","v1 > Dashboard APi > Products","api","",""
"","156","/api/v1/wallets/freeze","Kore 78 New","Sun Dec 01 20:02:23 GMT 2024","passed","Sun Dec 01 20:02:23 GMT 2024","v1 > wallets","api","",""
"","155","Create a role","Kore 78 New","Sun Dec 01 20:02:30 GMT 2024","passed","Sun Dec 01 20:02:30 GMT 2024","v1 > Dashboard APi > Get Roles","api","",""
"","150","/api/v1/teams/u/invite/accept/:id","Kore 78 New","Sun Dec 01 20:02:16 GMT 2024","passed","Sun Dec 01 20:02:17 GMT 2024","v1 > teams","api","",""
"","204","/api/v1/transaction-types/get","Kore 78 New","Sun Dec 01 20:02:17 GMT 2024","passed","Sun Dec 01 20:02:17 GMT 2024","v1 > transaction-types","api","",""
"","190","Get currency","Kore 78 New","Sun Dec 01 20:02:08 GMT 2024","passed","Sun Dec 01 20:02:09 GMT 2024","v1 > Admin Operations > currencies","api","",""
"","218","Add currency","Kore 78 New","Sun Dec 01 20:02:08 GMT 2024","failed","Sun Dec 01 20:02:08 GMT 2024","v1 > Admin Operations > currencies","api","",""
"","156","Close Branch","Kore 78 New","Sun Dec 01 20:02:11 GMT 2024","failed","Sun Dec 01 20:02:11 GMT 2024","v1 > branches","api","",""
"","159","Update Role","Kore 78 New","Sun Dec 01 20:02:30 GMT 2024","failed","Sun Dec 01 20:02:30 GMT 2024","v1 > Dashboard APi > Get Roles","api","",""
"","145","/api/v1/wallets/users/customer/freeze/organization/:organiationId","Kore 78 New","Sun Dec 01 20:02:18 GMT 2024","passed","Sun Dec 01 20:02:19 GMT 2024","v1 > wallets > users","api","",""
"","186","/api/v1/customers/add","Kore 78 New","Sun Dec 01 20:02:11 GMT 2024","passed","Sun Dec 01 20:02:11 GMT 2024","v1 > customers > Add Customer","api","",""
"","152","/api/v1/wallets/wallet/card/transaction/account-number/post","Kore 78 New","Sun Dec 01 20:02:26 GMT 2024","passed","Sun Dec 01 20:02:26 GMT 2024","v1 > wallets","api","",""
"","153","Add organization - wallet","Kore 78 New","Sun Dec 01 20:02:09 GMT 2024","passed","Sun Dec 01 20:02:09 GMT 2024","v1 > Admin Operations > organizations","api","",""
"","158","/api/v1/wallets/get/restriction/types","Kore 78 New","Sun Dec 01 20:02:24 GMT 2024","passed","Sun Dec 01 20:02:25 GMT 2024","v1 > wallets","api","",""
